Source GDB,Layer,Rows,Columns,Number of Layers, Total 
Cesus LEHD Commute Patterns,Municipalities_and_Townships,97,8,1,776
Cesus LEHD Commute Patterns,Counties,29,5,1,145
LEHD2018,Block Group,2019,237,3,"1,435,509.00"
LEHD2018,Tract,716,236,3,"506,928.00"
LEHD2018,Small District,147,226,3,"99,666.00"
LEHD2018,City,97,223,3,"64,893.00"
LEHD2019,Block Group,2019,237,3,"1,435,509.00"
LEHD2019,Tract,716,236,3,"506,928.00"
LEHD2019,Small District,147,226,3,"99,666.00"
LEHD2019,City,97,223,3,"64,893.00"
SL2019,Block Group,2019,237,3,"1,435,509.00"
SL2019,Tract,716,236,3,"506,928.00"
SL2019,Small District,147,226,3,"99,666.00"
SL2019,City,97,222,3,"64,602.00"
LEHDVSL2019,Block Group,2019,236,2,"952,968.00"
LEHDVSL2019,Tract,716,235,2,"336,520.00"
LEHDVSL2019,Small District,797,225,2,"358,650.00"
LEHDVSL2019,City,97,222,2,"43,068.00"
