Configuration,Browser,Cache,Load Config,Load Map,Load Widget,Total,Speed Index
Original,Chrome,1st Time,0.33,28.43,0.3,29.07,
Original,Chrome - Cable,Webtest,,,,19.5,12.9
Original - no BGs,Edge,1st Time,0.66,8.75,1.9,11.32,
Original - no BGs,Chrome - Cable,Webtest,,,,17.6,11.94
Simplified,Chrome,1st Time,3.58,5.95,0.44,9.97,
Simplified,Chrome - Cable,Webtest,,,,19.1,12.9
Simplified - no BGs,Chrome,1st Time,0.37,6.9,0.49,7.76,
Simplified - no BGs,Chrome - Cable,Webtest,,,,17.4,12.17
Simplified - no BGs - simplified 2018 as well,Chrome,1st Time,0.83,3.97,1.31,6.12,
Simplified - no BGs - simplified 2018 as well,Chrome - Cable,Webtest,,,,16.2,11.83
